Tm,Player,Rk,Pos,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
ATL,DeAndre' Bembry,40,SF,22,38,1,371,47,98,0.48,1,18,0.056,46,80,0.575,0.485,6,16,0.375,14,45,59,28,8,5,16,21,101
ATL,Dennis Schroder,394,PG,23,79,78,2485,548,1214,0.451,100,294,0.34,448,920,0.487,0.493,218,255,0.855,42,206,248,499,74,16,258,149,1414
ATL,Dwight Howard,205,C,31,74,74,2199,388,613,0.633,0,2,0.0,388,611,0.635,0.633,226,424,0.5329999999999999,296,644,940,104,64,92,170,203,1002
ATL,Edy Tavares,418,C,24,1,0,4,1,1,1.0,0,0,,1,1,1.0,1.0,0,2,0.0,0,1,1,0,0,0,0,0,2
ATL,Gary Neal,323,SG,32,2,0,18,0,7,0.0,0,2,0.0,0,5,0.0,0.0,4,4,1.0,0,1,1,1,0,0,0,1,4
ATL,Kent Bazemore,35,SF,27,73,64,1963,295,721,0.409,92,266,0.34600000000000003,203,455,0.446,0.473,119,168,0.708,45,186,231,177,91,52,125,165,801
ATL,Kris Humphries,208,PF,31,56,4,689,87,214,0.407,19,54,0.35200000000000004,68,160,0.425,0.451,64,82,0.78,60,146,206,29,15,21,28,69,257
ATL,Kyle Korver,248,SG,35,32,21,894,108,246,0.439,65,159,0.409,43,87,0.494,0.5710000000000001,24,27,0.889,0,89,89,75,23,13,40,47,305
ATL,Lamar Patterson,349,SG,25,5,0,40,3,15,0.2,1,6,0.16699999999999998,2,9,0.222,0.233,2,3,0.667,1,6,7,6,1,0,4,6,9
ATL,Malcolm Delaney,105,PG,27,73,2,1248,145,388,0.374,26,110,0.236,119,278,0.428,0.407,75,93,0.8059999999999999,10,113,123,193,39,1,95,112,391
ATL,Mike Muscala,319,C,25,70,3,1237,170,337,0.504,46,110,0.418,124,227,0.546,0.573,49,64,0.7659999999999999,76,164,240,95,30,41,55,97,435
ATL,Mike Scott,396,PF,28,18,0,195,17,59,0.28800000000000003,4,27,0.14800000000000002,13,32,0.406,0.322,7,8,0.875,10,27,37,17,4,3,8,12,45
ATL,Paul Millsap,306,PF,31,69,67,2343,430,972,0.442,75,241,0.311,355,731,0.486,0.481,311,405,0.768,111,422,533,252,90,62,158,186,1246
ATL,Ryan Kelly,244,PF,25,16,0,110,8,28,0.28600000000000003,4,10,0.4,4,18,0.222,0.35700000000000004,5,6,0.833,1,17,18,8,4,5,4,5,25
ATL,Taurean Waller-Prince,453,SF,22,59,10,981,114,285,0.4,33,102,0.324,81,183,0.443,0.458,74,94,0.787,25,132,157,55,43,27,61,96,335
ATL,Thabo Sefolosha,397,SF,32,62,42,1596,174,395,0.441,41,120,0.342,133,275,0.484,0.4920000000000001,55,75,0.733,54,216,270,107,96,31,58,97,444
ATL,Tim Hardaway,171,SG,24,79,30,2154,415,912,0.455,149,417,0.35700000000000004,266,495,0.537,0.537,164,214,0.7659999999999999,35,189,224,182,55,15,106,103,1143
BOS,Al Horford,203,C,30,68,68,2193,379,801,0.473,86,242,0.355,293,559,0.524,0.527,108,135,0.8,95,370,465,337,52,86,115,138,952
BOS,Amir Johnson,226,PF,29,80,77,1608,213,370,0.5760000000000001,27,66,0.409,186,304,0.612,0.612,67,100,0.67,118,248,366,140,51,62,77,211,520
BOS,Avery Bradley,55,SG,26,55,55,1835,359,775,0.463,108,277,0.39,251,498,0.504,0.5329999999999999,68,93,0.731,65,269,334,122,68,11,88,141,894
BOS,Demetrius Jackson,217,PG,22,5,0,17,3,4,0.75,1,1,1.0,2,3,0.667,0.875,3,6,0.5,2,2,4,3,0,0,0,0,10
BOS,Gerald Green,165,SF,31,47,0,538,95,232,0.409,39,111,0.35100000000000003,56,121,0.463,0.494,33,41,0.805,16,68,84,33,9,7,25,48,262
BOS,Isaiah Thomas,424,PG,27,76,76,2569,682,1473,0.463,245,646,0.379,437,827,0.528,0.546,590,649,0.909,43,162,205,448,70,13,210,167,2199
BOS,Jae Crowder,95,SF,26,72,72,2335,333,720,0.463,157,394,0.398,176,326,0.54,0.5720000000000001,176,217,0.8109999999999999,48,367,415,155,73,23,80,161,999
BOS,James Young,478,SG,21,29,0,220,25,58,0.431,12,35,0.343,13,23,0.565,0.534,6,9,0.667,6,20,26,4,10,2,4,15,68
